item_id,timestamp,target_value
monthly-car-sale,1960-01-01 00:00:00,6550
monthly-car-sale,1960-02-01 00:00:00,8728
monthly-car-sale,1960-03-01 00:00:00,12026
monthly-car-sale,1960-04-01 00:00:00,14395
monthly-car-sale,1960-05-01 00:00:00,14587
monthly-car-sale,1960-06-01 00:00:00,13791
monthly-car-sale,1960-07-01 00:00:00,9498
monthly-car-sale,1960-08-01 00:00:00,8251
monthly-car-sale,1960-09-01 00:00:00,7049
monthly-car-sale,1960-10-01 00:00:00,9545
monthly-car-sale,1960-11-01 00:00:00,9364
monthly-car-sale,1960-12-01 00:00:00,8456
monthly-car-sale,1961-01-01 00:00:00,7237
monthly-car-sale,1961-02-01 00:00:00,9374
monthly-car-sale,1961-03-01 00:00:00,11837
monthly-car-sale,1961-04-01 00:00:00,13784
monthly-car-sale,1961-05-01 00:00:00,15926
monthly-car-sale,1961-06-01 00:00:00,13821
monthly-car-sale,1961-07-01 00:00:00,11143
monthly-car-sale,1961-08-01 00:00:00,7975
monthly-car-sale,1961-09-01 00:00:00,7610
monthly-car-sale,1961-10-01 00:00:00,10015
monthly-car-sale,1961-11-01 00:00:00,12759
monthly-car-sale,1961-12-01 00:00:00,8816
monthly-car-sale,1962-01-01 00:00:00,10677
monthly-car-sale,1962-02-01 00:00:00,10947
monthly-car-sale,1962-03-01 00:00:00,15200
monthly-car-sale,1962-04-01 00:00:00,17010
monthly-car-sale,1962-05-01 00:00:00,20900
monthly-car-sale,1962-06-01 00:00:00,16205
monthly-car-sale,1962-07-01 00:00:00,12143
monthly-car-sale,1962-08-01 00:00:00,8997
monthly-car-sale,1962-09-01 00:00:00,5568
monthly-car-sale,1962-10-01 00:00:00,11474
monthly-car-sale,1962-11-01 00:00:00,12256
monthly-car-sale,1962-12-01 00:00:00,10583
monthly-car-sale,1963-01-01 00:00:00,10862
monthly-car-sale,1963-02-01 00:00:00,10965
monthly-car-sale,1963-03-01 00:00:00,14405
monthly-car-sale,1963-04-01 00:00:00,20379
monthly-car-sale,1963-05-01 00:00:00,20128
monthly-car-sale,1963-06-01 00:00:00,17816
monthly-car-sale,1963-07-01 00:00:00,12268
monthly-car-sale,1963-08-01 00:00:00,8642
monthly-car-sale,1963-09-01 00:00:00,7962
monthly-car-sale,1963-10-01 00:00:00,13932
monthly-car-sale,1963-11-01 00:00:00,15936
monthly-car-sale,1963-12-01 00:00:00,12628
monthly-car-sale,1964-01-01 00:00:00,12267
monthly-car-sale,1964-02-01 00:00:00,12470
monthly-car-sale,1964-03-01 00:00:00,18944
monthly-car-sale,1964-04-01 00:00:00,21259
monthly-car-sale,1964-05-01 00:00:00,22015
monthly-car-sale,1964-06-01 00:00:00,18581
monthly-car-sale,1964-07-01 00:00:00,15175
monthly-car-sale,1964-08-01 00:00:00,10306
monthly-car-sale,1964-09-01 00:00:00,10792
monthly-car-sale,1964-10-01 00:00:00,14752
monthly-car-sale,1964-11-01 00:00:00,13754
monthly-car-sale,1964-12-01 00:00:00,11738
monthly-car-sale,1965-01-01 00:00:00,12181
monthly-car-sale,1965-02-01 00:00:00,12965
monthly-car-sale,1965-03-01 00:00:00,19990
monthly-car-sale,1965-04-01 00:00:00,23125
monthly-car-sale,1965-05-01 00:00:00,23541
monthly-car-sale,1965-06-01 00:00:00,21247
monthly-car-sale,1965-07-01 00:00:00,15189
monthly-car-sale,1965-08-01 00:00:00,14767
monthly-car-sale,1965-09-01 00:00:00,10895
monthly-car-sale,1965-10-01 00:00:00,17130
monthly-car-sale,1965-11-01 00:00:00,17697
monthly-car-sale,1965-12-01 00:00:00,16611
monthly-car-sale,1966-01-01 00:00:00,12674
monthly-car-sale,1966-02-01 00:00:00,12760
monthly-car-sale,1966-03-01 00:00:00,20249
monthly-car-sale,1966-04-01 00:00:00,22135
monthly-car-sale,1966-05-01 00:00:00,20677
monthly-car-sale,1966-06-01 00:00:00,19933
monthly-car-sale,1966-07-01 00:00:00,15388
monthly-car-sale,1966-08-01 00:00:00,15113
monthly-car-sale,1966-09-01 00:00:00,13401
monthly-car-sale,1966-10-01 00:00:00,16135
monthly-car-sale,1966-11-01 00:00:00,17562
monthly-car-sale,1966-12-01 00:00:00,14720
monthly-car-sale,1967-01-01 00:00:00,12225
monthly-car-sale,1967-02-01 00:00:00,11608
monthly-car-sale,1967-03-01 00:00:00,20985
monthly-car-sale,1967-04-01 00:00:00,19692
monthly-car-sale,1967-05-01 00:00:00,24081
monthly-car-sale,1967-06-01 00:00:00,22114
monthly-car-sale,1967-07-01 00:00:00,14220
monthly-car-sale,1967-08-01 00:00:00,13434
monthly-car-sale,1967-09-01 00:00:00,13598
monthly-car-sale,1967-10-01 00:00:00,17187
monthly-car-sale,1967-11-01 00:00:00,16119
monthly-car-sale,1967-12-01 00:00:00,13713
monthly-car-sale,1968-01-01 00:00:00,13210
monthly-car-sale,1968-02-01 00:00:00,14251
monthly-car-sale,1968-03-01 00:00:00,20139
monthly-car-sale,1968-04-01 00:00:00,21725
monthly-car-sale,1968-05-01 00:00:00,26099
monthly-car-sale,1968-06-01 00:00:00,21084
monthly-car-sale,1968-07-01 00:00:00,18024
monthly-car-sale,1968-08-01 00:00:00,16722
monthly-car-sale,1968-09-01 00:00:00,14385
monthly-car-sale,1968-10-01 00:00:00,21342
monthly-car-sale,1968-11-01 00:00:00,17180
monthly-car-sale,1968-12-01 00:00:00,14577
